timestamp,config_hash,video,width,height,fps,frame_area,conf_threshold,frame_stride,min_area_ratio,min_area_threshold,processed_frames,frames_with_detections,total_detections,processing_time,detections_per_second,frames_per_second
2025-09-02T21:54:18.657367,a32239cc,cow_0777.mp4,1280,720,29.933920704845814,921600,0.15,2,0.005,4608.0,227,227,292,7.435181140899658,39.27274863469808,30.53052719204269
2025-09-02T21:54:26.038737,a32239cc,hare_0777.mp4,1280,720,30.0,921600,0.15,2,0.005,4608.0,226,224,226,7.3607871532440186,30.703238022634324,30.703238022634324
2025-09-02T21:54:31.032127,a32239cc,humn.mp4,640,480,20.0,307200,0.15,2,0.005,1536.0,150,150,190,4.984879970550537,38.11526077307256,30.09099534716255
2025-09-02T21:54:39.681221,a32239cc,insect_013.mp4,1920,1080,30.0,2073600,0.15,2,0.005,10368.0,225,0,0,8.605504751205444,0.0,26.14605493866962
2025-09-02T21:54:46.894427,a32239cc,insect_015.mp4,1280,720,29.933774834437084,921600,0.15,2,0.005,4608.0,226,0,0,7.192530870437622,0.0,31.421484880780117
2025-09-02T21:54:54.020219,a32239cc,insxeox.mp4,1280,720,29.934087863800634,921600,0.15,2,0.005,4608.0,227,0,0,7.100718021392822,0.0,31.968598008835368
2025-09-02T21:55:00.393817,a32239cc,margay_008.mp4,1440,1080,15.0,1555200,0.15,2,0.005,7776.0,155,30,30,6.3525567054748535,4.722508021714306,24.39962477885725
2025-09-02T21:55:03.664306,a32239cc,margay_012.mp4,1440,1080,15.0,1555200,0.15,2,0.005,7776.0,80,15,15,3.2592780590057373,4.60224618103797,24.545312965535835
2025-09-02T21:55:10.709110,a32239cc,no_animal_004.mp4,1280,720,29.933920704845814,921600,0.15,2,0.005,4608.0,227,0,0,7.023252725601196,0.0,32.32120626565786
2025-09-02T21:55:17.759112,a32239cc,no_animal_018.mp4,1280,720,29.933920704845814,921600,0.15,2,0.005,4608.0,227,0,0,7.028980255126953,0.0,32.29486949183357
2025-09-02T21:55:24.842964,a32239cc,skunk_004.mp4,1280,720,29.934087863800634,921600,0.15,2,0.005,4608.0,227,12,12,7.06483006477356,1.6985546559476405,32.130992241676196
